-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,17,17,17,17,18,-1,-1,-1,-1,-1,-1,-1,-1,16,6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,34,-1,-1,-1,16,17,17,17,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,8,-1,8,5,18,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,8,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,6,-1,-1,8,5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,17,17,17,17,18,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,34,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,8,-1,-1,-1,5,17,18,-1,-1,-1,-1,-1,16,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,-1,-1,-1,-1,8,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,6,-1,-1,-1,-1,-1,-1,-1,5,18,-1,-1,-1,-1,32,8,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,8,-1,-1,34,-1,-1,-1,32,-1,-1,-1,-1,-1,5,17,17,17,17,17,17,18,-1,-1,-1,-1,-1,-1,32,-1,8,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,34,-1,-1,-1,48,49,49,49,49,49,7,7,49,49,49,49,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,48,4,8,8,-1,-1,-1,-1,-1,3,50,48,49,49,49,49,49,50,-1,-1,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,-1,-1,-1,-1,-1,3,7,7,8,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1,-1,48,49,49,49,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,48,49,4,-1,-1,-1,3,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,48,4,-1,-1,-1,-1,34,7,7,49,49,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,32,8,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,8,3,4,-1,-1,3,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,49,49,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,8,3,50,-1,-1,-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,48,4,-1,-1,3,50,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,17,7,7,17,18,-1,-1,-1,-1,-1,-1,48,4,8,-1,-1,-1,-1
17,17,17,17,18,-1,48,49,4,-1,-1,3,50,48,7,7,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,-1,-1,8,3,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,48,49,49,50,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,5,17,17,18,-1,-1,-1,-1,32,-1,-1,-1,-1,8
-1,-1,-1,-1,5,17,17,18,48,49,49,50,-1,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,4,-1,-1,-1,-1,-1,3,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,6,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,8,-1,-1,5,18,-1,-1,-1,48,4,-1,-1,-1,-1
